"cid","country","year","violence","violence_y_cum","UDS","DemAge","polity2","durable","system","yrsoffc","finittrm","yrcurnt","multpl","military","defmin","percent1","percentl","prtyin","execme","execrlc","execnat","execrurl","execreg","execrel","execage","allhouse","nonchief","totalseats","gov1me","gov1seat","gov1vote","gov1rlc","gov1nat","gov1rurl","gov1reg","gov1rel","gov1age","gov2me","gov2seat","gov2vote","gov2rlc","gov2nat","gov2rurl","gov2reg","gov2rel","gov2age","gov3me","gov3seat","gov3vote","gov3rlc","gov3nat","gov3rurl","gov3reg","gov3rel","gov3age","govoth","govothst","govothvt","opp1me","opp1seat","opp1vote","opp1rlc","opp1nat","opp1rurl","opp1reg","opp1rel","opp1age","opp2me","opp2seat","opp2vote","opp3me","opp3seat","opp3vote","oppoth","oppothst","oppothvt","ulprty","numul","ulvote","oppmajh","oppmajs","dateleg","dateexec","legelec","exelec","execspec","govspec","coalspec","liec","eiec","mdmh","mdms","ssh","pluralty","pr","housesys","sensys","thresh","dhondt","cl","select","fraud","auton","muni","state","author","stconst","numgov","numvote","numopp","oppvote","maj","partyage","herfgov","herfopp","herftot","frac","oppfrac","govfrac","tensys_strict","tensys","checks_lax","checks","stabs_strict","stabs","stabns_strict","stabns","tenlong_strict","tenlong","tenshort_strict","tenshort","polariz","wave_n","CWtrust","CWsurvSelfExpr","CWconfParliament","ethnicAlesina","languageAlesina","religionAlesina","legislature","elect_legislature","MajCat","singleParty","disproportionality","gini","GDPperCapita","enpv","enps","federal","immunity","higherTrust"
NA,"Afghanistan",1980,0,NA,-2.02601504325867,0,NA,0,"Presidential",1,0,-999,-999,0,1,-999,-999,-999,"independent",3,0,0,0,0,NA,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,-999,0,0,-999,0,0,-999,-999,-999,-999,0,0,0,0,0,1,2,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,-999,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1981,0,NA,-1.84203803539276,0,NA,0,"Presidential",2,0,-999,-999,0,1,-999,-999,3,"PDPA",3,0,0,1,0,16,1,"-999",44,"PDPA",44,0,3,0,0,1,0,16,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,NA,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,16,1,-999,NA,0,-999,0,2,2,1,1,0,0,0,0,2,2,2,2,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1982,0,NA,-1.83396375179291,0,NA,0,"Presidential",3,0,-999,-999,0,1,-999,-999,4,"PDPA",3,0,0,1,0,17,1,"-999",44,"PDPA",44,0,3,0,0,1,0,17,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,NA,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,17,1,-999,NA,0,-999,0,3,3,1,1,0,0,0,0,3,3,3,3,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1983,0,NA,-1.61140024662018,0,NA,0,"Presidential",4,0,-999,-999,0,1,-999,-999,5,"PDPA",3,0,0,1,0,18,1,"-999",44,"PDPA",44,0,3,0,0,1,0,18,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,NA,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,18,1,-999,NA,0,-999,0,4,4,1,1,0,0,0,0,4,4,4,4,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1984,0,NA,-1.62253832817078,0,NA,0,"Presidential",5,0,-999,-999,0,1,-999,-999,6,"PDPA",3,0,0,1,0,19,1,"-999",44,"PDPA",44,0,3,0,0,1,0,19,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,NA,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,19,1,-999,NA,0,-999,0,5,5,1,1,0,0,0,0,5,5,5,5,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1985,0,NA,-1.83279097080231,0,NA,0,"Presidential",6,0,-999,-999,0,1,-999,-999,7,"PDPA",3,0,0,1,0,20,1,"-999",44,"PDPA",44,0,3,0,0,1,0,20,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,NA,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,20,1,-999,NA,0,-999,0,6,6,1,1,0,0,0,0,6,6,6,6,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1986,0,NA,-1.60955035686493,0,NA,0,"Presidential",7,0,-999,-999,0,1,-999,-999,8,"PDPA",3,0,0,1,0,21,1,"-999",44,"PDPA",44,0,3,0,0,1,0,21,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,888,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,21,1,-999,NA,0,-999,0,7,7,1,1,0,0,0,0,7,7,7,7,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1987,0,NA,-1.6083573102951,0,NA,0,"Presidential",1,0,-999,-999,0,1,-999,-999,9,"PDPA",3,0,0,1,0,22,1,"-999",44,"PDPA",44,0,3,0,0,1,0,22,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,888,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,0,"No local elections",NA,-999,44,0,0,0,1,22,1,-999,NA,0,-999,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
1,"Afghanistan",1988,0,NA,-1.26064431667328,0,NA,0,"Presidential",1,1,6,1,0,1,-999,-999,10,"PDPA",3,0,0,1,0,23,1,"-999",44,"PDPA",44,NA,3,0,0,1,0,23,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,0,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,3.5,2,888,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,0,0,1,"No local elections",NA,-999,44,0,0,0,1,23,1,-999,NA,0,-999,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1989,0,NA,-1.28777849674225,0,-8,0,"Presidential",2,1,5,1,0,1,-999,-999,11,"PDPA",3,0,0,1,0,24,1,"-999",184,"PDPA",44,NA,3,0,0,1,0,24,"NF",36,NA,0,0,0,0,0,2,"NA",0,0,-999,-999,-999,-999,-999,-999,54,104,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,0,-999,-999,0,0,1,1,1,1,1,-999,888,0.449999988079071,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,1,184,0,0,0,1,13,0.101379260420799,-999,NA,0.90353125333786,-999,0.90353125333786,2,2,1,1,0,0,0,0,2,2,2,2,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1990,0,NA,-1.28786170482635,0,-8,1,"Presidential",3,1,4,1,0,1,-999,-999,12,"PDPA",3,0,0,1,0,25,1,"-999",184,"PDPA",44,NA,3,0,0,1,0,25,"NF",36,NA,0,0,0,0,0,3,"NA",0,0,-999,-999,-999,-999,-999,-999,54,104,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,0,-999,-999,0,0,1,1,1,1,1,-999,888,0.449999988079071,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,1,184,0,0,0,1,14,0.101379260420799,-999,NA,0.90353125333786,-999,0.90353125333786,3,3,1,1,0,0,0,0,3,3,3,3,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1991,0,NA,-1.2899181842804,0,-8,2,"Presidential",4,1,3,1,0,1,-999,-999,1,"HP",3,0,0,1,3,26,1,"-999",184,"HP",44,NA,3,0,0,1,0,26,"NF",36,NA,0,0,0,0,0,4,"NA",0,0,-999,-999,-999,-999,-999,-999,54,104,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,0,-999,-999,0,0,1,1,1,1,1,-999,888,0.449999988079071,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,1,184,0,0,0,1,15,0.101379260420799,-999,NA,0.90353125333786,-999,0.90353125333786,4,4,1,1,0,0,0,0,4,4,4,4,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1992,0,NA,-0.549915134906769,0,0,0,"Presidential",5,1,2,1,0,1,-999,-999,2,"HP",3,0,0,1,3,27,1,"-999",184,"HP",44,NA,3,0,0,1,0,27,"NF",36,NA,0,0,0,0,0,5,"NA",0,0,-999,-999,-999,-999,-999,-999,54,104,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,0,-999,-999,0,0,1,1,1,1,1,-999,888,0.449999988079071,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,1,184,0,0,0,1,16,0.101379260420799,-999,NA,0.90353125333786,-999,0.90353125333786,5,5,1,1,0,0,0,0,5,5,5,5,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1993,0,NA,-0.733429670333862,0,0,0,"Presidential",1,1,1,1,0,1,-999,-999,1,"IAA",0,0,0,1,3,NA,1,"-999",609,"IAA",366,NA,3,0,0,1,3,NA,"IRM",127,NA,0,0,0,1,3,NA,"IU",116,NA,0,0,0,1,3,-999,NA,NA,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,-999,609,0,0,0,1,NA,0.440952748060226,-999,NA,0.559966742992401,-999,0.559966742992401,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1994,0,NA,-0.734349131584167,0,0,0,"Presidential",2,1,0,1,0,1,-999,-999,2,"IAA",0,0,0,1,3,NA,1,"-999",609,"IAA",366,NA,3,0,0,1,3,NA,"IRM",127,NA,0,0,0,1,3,NA,"IU",116,NA,0,0,0,1,3,-999,NA,NA,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,-999,609,0,0,0,1,NA,0.440952748060226,-999,NA,0.559966742992401,-999,0.559966742992401,2,2,1,1,0,0,0,0,2,2,2,2,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1995,0,NA,-0.735070466995239,0,0,0,"Presidential",3,1,-999,-999,0,1,-999,-999,3,"IAA",0,0,0,1,3,NA,1,"-999",609,"IAA",366,NA,3,0,0,1,3,NA,"IRM",127,NA,0,0,0,1,3,NA,"IU",116,NA,0,0,0,1,3,-999,NA,NA,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,-999,609,0,0,0,1,NA,0.440952748060226,-999,NA,0.559966742992401,-999,0.559966742992401,3,3,1,1,0,0,0,0,3,3,3,3,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1996,0,NA,-1.1391499042511,0,-7,0,"Presidential",4,1,-999,-999,0,NA,-999,-999,4,"IAA",0,0,0,1,3,NA,1,"-999",609,"IAA",366,NA,3,0,0,1,3,NA,"IRM",127,NA,0,0,0,1,3,NA,"IU",116,NA,0,0,0,1,3,-999,NA,NA,NA,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,0,-999,-999,-999,0,0,1,1,1,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,NA,NA,-999,0,1,"No local elections",NA,-999,609,0,0,0,1,NA,0.440952748060226,-999,NA,0.559966742992401,-999,0.559966742992401,4,4,1,1,0,0,0,0,4,4,4,4,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,3,0,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1997,0,NA,-1.14858734607697,0,-7,1,"Presidential",1,0,-999,-999,0,NA,-999,-999,1,"Taliban",0,0,0,0,3,3,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1998,0,NA,-1.1439710855484,0,-7,2,"Presidential",2,0,-999,-999,0,NA,-999,-999,2,"Taliban",0,0,0,0,3,4,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,2,2,1,1,0,0,0,0,2,2,2,2,0,3,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",1999,0,NA,-1.13979804515839,0,-7,3,"Presidential",3,0,-999,-999,0,NA,-999,-999,3,"Taliban",0,0,0,0,3,5,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,3,3,1,1,0,0,0,0,3,3,3,3,0,4,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",2000,0,NA,-1.33092641830444,0,-7,4,"Presidential",4,0,-999,-999,0,NA,-999,-999,4,"Taliban",0,0,0,0,3,6,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,4,4,1,1,0,0,0,0,4,4,4,4,0,4,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",2001,0,NA,-1.61742675304413,0,NA,0,"Presidential",5,0,-999,-999,0,0,-999,-999,5,"Taliban",0,0,0,0,3,7,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,5,5,1,1,0,0,0,0,5,5,5,5,0,4,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",2002,0,NA,-0.868510901927948,0,NA,0,NA,1,1,0,-999,0,1,-999,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,4,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",2003,0,NA,-0.868549168109894,0,NA,0,NA,2,-999,-999,-999,0,1,-999,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,-999,0,0,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,2,2,1,1,0,0,0,0,2,2,2,2,0,4,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
NA,"Afghanistan",2004,0,NA,-0.679431259632111,0,NA,0,"Presidential",3,-999,-999,-999,0,1,-999,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,-999,10,0,1,0,0,0,1,1,-999,-999,-999,-999,NA,-999,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,-999,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,3,3,1,1,0,0,0,0,3,3,3,3,0,4,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,220,NA,NA,NA,1,NA
NA,"Afghanistan",2005,0,NA,-0.184462055563927,0,NA,0,"Presidential",4,1,4,1,0,1,55,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,0,0,0,-999,-999,9,-999,1,0,0,0,0,1,1,7.32000017166138,888,0.28999999165535,1,0,1,-999,-999,-999,-999,NA,-999,0,0,"No local elections",NA,1,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,4,4,1,1,0,0,0,0,4,4,4,4,0,5,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,0,0,NA,NA,NA,NA,260,NA,NA,NA,1,NA
1,"Afghanistan",2006,1,1,-0.18697427213192,0,NA,0,"Presidential",5,1,3,1,0,1,55,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",249,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,249,249,100,0,-999,-999,-999,0,0,0,0,0,4,7,7.32000017166138,888,0.28999999165535,1,0,1,-999,-999,-999,-999,NA,0,0,0,"No local elections",NA,1,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,1,5,1,1,0,0,0,0,5,5,5,5,0,5,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,NA,NA,NA,NA,300,NA,NA,NA,1,NA
1,"Afghanistan",2007,0,NA,-0.185496479272842,0,NA,0,"Presidential",6,1,2,1,0,1,55,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",249,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,249,249,100,0,-999,-999,-999,0,0,NA,NA,NA,4,7,7.32000017166138,888,0.28999999165535,1,0,1,-999,NA,0,NA,2,NA,0,0,"No local elections",NA,1,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,2,6,1,1,0,0,0,0,6,6,6,6,0,5,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,NA,NA,NA,NA,320,NA,NA,NA,1,NA
1,"Afghanistan",2008,0,NA,-0.280436605215073,0,NA,0,"Presidential",7,1,1,1,0,1,55,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",249,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,249,249,100,0,-999,-999,-999,0,0,NA,NA,NA,4,7,7.32000017166138,888,0.28999999165535,1,0,1,-999,NA,0,NA,2,NA,0,0,"No local elections",NA,1,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,3,7,1,1,0,0,0,0,7,7,7,7,0,5,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,NA,NA,NA,NA,310,NA,NA,NA,1,NA
1,"Afghanistan",2009,NA,NA,NA,0,NA,0,"Presidential",8,1,0,1,0,1,55,-999,-999,"independent",-999,-999,-999,-999,-999,-999,NA,"-999",249,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,-999,-999,-999,-999,-999,-999,-999,0,0,"NA",0,0,-999,-999,-999,-999,-999,-999,"NA",0,0,"NA",0,0,0,0,0,249,249,100,0,-999,-999,-999,0,0,NA,NA,NA,4,7,7.32000017166138,888,0.28999999165535,1,0,1,-999,NA,0,NA,2,NA,0,0,"No local elections",NA,1,0,0,0,0,NA,NA,-999,-999,-999,NA,-999,NA,4,8,1,1,0,0,0,0,8,8,8,8,0,5,NA,NA,NA,0.769299983978271,0.614099979400635,0.271699994802475,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
